;g1;g2;g3;
a1;48,7;4,758380858;-0,54033364;
a2;76,9;5,268936604;-1,811905593;
a3;73,1;5,236960708;-1,648142319;
a4;51,1;4,20609164;-0,890610927;
a5;75,9;6,441067205;-2,709071235;
a6;74,2;4,367811292;-1,733440557;
a7;81,9;7,405616149;-6,68499159;
a8;80,9;7,346035958;-5,291345642;
a9;70,7;4,218610823;-1,9688118;
a10;75,1;4,549465854;-6,645130455;
a11;68,9;4,985649184;-0,656558837;
a12;70,3;5,525923419;-3,987825725;
a13;80;6,853514084;-7,11051271;
a14;76,1;6,450644319;-2,10917;
a15;56,1;3,667139546;-1,355719795;
a16;66,6;5,780620289;-2,606054729;
a17;75,7;4,668517409;-2,738704294;
a18;53,2;3,553020146;-2,842844762;
a19;73,5;6,837331186;-2,934764729;
a20;73,4;4,220367451;-3,564774414;
a21;55,4;4,035560442;-1,52578628;
a22;50,4;3,79168079;-0,845377541;
a23;63,1;4,161225375;-1,19342113;
a24;51,6;4,433885204;-1,087925193;
a25;81;7,650346263;-6,428537676;
a26;48,4;3,567892459;-1,356604961;
a27;49,6;3,742871146;-1,89141777;
a28;79,1;6,635655696;-3,237786332;
a29;73,5;4,652736639;-2,130289282;
a30;73,7;6,408113706;-1,801067791;
a31;61,1;3,92351296;-1,30428;
a32;57,4;3,819792213;-1,081816201;
a33;48,4;3,983848565;-0,758148809;
a34;79,3;7,271053807;-2,520027779;
a35;55,4;4,197181518;-0,994593431;
a36;76,6;5,59557522;-4,19358543;
a37;79,1;5,417868479;-1,895394735;
a38;79,6;6,386546111;-4,441846008;
a39;77,7;6,152203608;-5,273965432;
a40;78,8;7,770515285;-8,253636745;
a41;57,9;5,005810871;-1,84912;
a42;73,4;4,735021226;-1,422579552;
a43;75,6;5,838051509;-2,367701679;
a44;73,2;3,876922472;-2,059464372;
a45;72,2;6,739911151;-1,993261915;
a46;74,8;5,137738838;-4,73471371;
a47;59,3;4,370043934;-1,132291282;
a48;80;7,393264207;-6,211172688;
a49;81,5;6,797901112;-4,910920759;
a50;73,7;4,101837086;-1,433689035;
