;2;2;2;2
;gain;gain;gain;gain
;g1;g2;g3;g4
a1;18.45;19;0;15
a2;21.17;25;2.69;22.5
a3;28.5;107;0.18;35
a4;28.62;256;0.36;52.5
a5;27.87;336;0.84;77.5
a6;5.2;21;0;0
a7;24.58;101;0.79;20
a8;29.52;487;0.38;82.5
a9;24.87;96;0;40
a10;10.39;40;0;0
a11;21.16;18;0;0
a12;40.82;330;1.85;95
a13;20.37;0;0;0
a14;27.98;268;0.63;65
a15;26.19;152;1.34;32.5
a16;16.44;31;0.01;35
a17;25.14;418;0.97;80
a18;18.68;44;0;30
a19;37.1;519;0.37;72.5
a20;29.5;415;0.31;34.5
a21;27.07;57;1.23;32.5
a22;31.66;266;0.08;55
a23;29.37;473;2.24;90
a24;28.64;42;10.85;45
a25;33.19;244;0.58;69
a26;33.43;426;1.47;80.5
a27;24.81;63;0.13;2.5
a28;28.84;106;0.91;45
a29;24.71;12;0;25
a30;26.62;171;2.46;45
a31;33.73;99;1.77;29.5
a32;30.8;135;0.58;25
a33;26.23;97;0.26;65
a34;25.18;38;0.07;35
a35;30.8;484;0.32;65
a36;21.74;15;0;20
a37;28.77;13;0;8
a38;29.51;100;0.1;65
a39;25.22;418;0.04;70
a40;21.22;18;0.2;40
a41;14.11;68;0;35
a42;29.07;459;1.91;70
a43;26.51;383;0.61;47.5
a44;39.72;233;2.1;55
a45;30.2;50;0;30
a46;19.81;39;0.04;10
a47;37.52;560;0.13;90
a48;23.95;186;0.86;75
a49;27.45;199;0.23;50
a50;21.54;27;1.62;35
a51;30.24;208;2.22;60
a52;28.57;77;0.58;45
a53;17.1;9;0;20
a54;28.9;426;2.44;55
a55;35.83;139;0;25
a56;27.43;270;0.25;52.5
a57;30.41;419;0.36;62.5
a58;44.47;171;2.64;40
a59;22.07;81;0.03;20
a60;33.02;371;1.7;80
a61;27.96;78;0.39;20
a62;26.81;562;0.77;95
a63;17.58;57;1.32;30
a64;31.73;342;0.67;60
a65;32.89;426;1.17;72.5
a66;6.22;97;0;0
a67;29.31;39;0.18;32.5
a68;30.8;313;0.36;72.5
a69;11.09;14;0;10
a70;28.88;234;4.23;75
a71;17.63;15;1.99;19
a72;42.84;285;0.99;50
a73;27.86;71;0.06;37.5
a74;30.33;137;2.31;45.5
a75;34.43;199;0.36;30
a76;30.25;205;0.9;72.5
a77;30.78;317;0.51;65
a78;27.38;104;1.37;45
a79;38.33;78;0.15;50
a80;4.76;2;8.38;10
a81;36.52;81;0.07;20
a82;33.94;42;2.66;35
a83;21.29;31;0;20
a84;25.84;241;2.3;30
a85;18.16;9;0;12.5
a86;21.87;13;0;0
a87;27.5;18;8.43;25
a88;27.73;85;0.58;55
a89;27.46;67;0.14;39
a90;28.77;39;3.59;30
a91;33.28;115;0;25
a92;24.75;249;1.46;80
a93;22.79;68;0.04;35
