;;;;;;;;
;g1;g2;g3;g4;g5;g6;g7;g8
a1;100;95;1;92;62;22;7;78
a2;1;58;100;43;100;100;100;100
a3;1;76;76;43;84;70;88;93
a4;37;78;32;66;28;45;7;67
a5;19;38;70;100;70;70;9;93
a6;8;50;67;73;56;76;67;93
a7;11;43;68;91;77;71;17;93
a8;7;42;78;87;79;73;15;85
a9;1;100;94;54;53;45;27;83
a10;1;44;80;72;68;77;38;93
a11;9;61;48;81;52;63;20;85
a12;2;65;80;56;67;44;45;78
a13;3;37;53;74;75;71;40;85
a14;9;38;62;85;65;60;12;77
a15;2;34;59;72;69;66;46;85
a16;4;44;65;68;63;78;14;85
a17;2;39;66;73;58;69;15;93
a18;2;36;66;71;62;68;19;93
a19;2;38;54;70;65;70;16;93
a20;17;59;48;47;40;49;5;56
a21;3;53;53;67;51;66;14;77
a22;2;63;55;58;46;65;21;68
a23;1;30;45;64;60;74;44;77
a24;1;52;37;64;58;74;25;77
a25;6;71;63;61;40;48;10;50
a26;1;32;57;69;69;73;18;85
a27;3;68;41;54;47;52;23;77
a28;2;43;38;72;53;70;25;77
a29;1;41;50;75;46;65;27;77
a30;2;29;62;73;60;70;13;85
a31;5;75;35;58;54;29;17;72
a32;1;40;60;61;53;72;24;78
a33;11;69;32;58;30;46;8;61
a34;7;24;67;77;57;59;10;61
a35;18;51;42;58;49;24;8;39
a36;9;54;58;41;27;53;24;67
a37;1;38;62;58;50;79;15;85
a38;1;64;58;50;50;39;19;83
a39;6;19;60;77;55;65;11;69
a40;2;81;45;45;23;57;9;72
a41;4;83;39;51;32;24;25;50
a42;1;59;35;54;63;42;25;61
a43;1;43;54;61;50;62;19;61
a44;2;53;58;39;38;75;16;68
a45;1;85;60;56;26;32;19;34
a46;4;65;58;46;27;49;10;72
a47;1;77;13;46;45;41;21;83
a48;1;26;48;73;57;58;22;69
a49;1;52;61;56;37;66;10;61
a50;2;68;36;72;37;38;10;45
a51;1;39;50;60;40;59;19;62
a52;1;47;92;43;34;55;14;50
a53;4;58;74;60;38;38;6;17
a54;4;74;53;56;17;36;7;39
a55;1;32;36;67;44;59;26;56
a56;4;61;30;47;38;37;20;56
a57;2;32;52;63;41;59;12;67
a58;1;56;51;31;34;65;20;67
a59;1;39;68;64;38;53;15;40
a60;1;34;49;68;41;57;14;56
a61;1;25;68;53;47;63;12;69
a62;6;55;68;60;27;35;5;17
a63;4;56;78;57;27;30;6;23
a64;1;76;55;47;29;36;7;39
a65;1;68;73;42;23;43;16;23
a66;1;64;62;36;22;51;14;45
a67;1;28;76;53;39;65;17;36
a68;1;67;50;38;25;48;15;45
a69;1;52;56;51;23;50;15;45
a70;3;66;43;25;25;56;8;61
a71;1;63;80;26;21;45;11;51
a72;2;53;35;46;33;40;12;67
a73;4;29;56;68;46;35;15;1
a74;1;58;69;31;21;40;21;34
a75;3;66;1;54;18;24;10;67
a76;2;75;30;61;16;20;11;1
a77;1;55;34;63;40;20;17;1
a78;6;53;52;35;21;35;5;28
a79;5;46;43;1;47;55;10;56
a80;1;66;15;46;6;38;19;39
a81;1;64;37;33;25;37;12;28
a82;2;71;15;58;24;14;8;12
a83;3;46;55;54;30;13;10;1
a84;1;44;22;53;28;33;11;39
a85;2;1;73;56;40;47;11;28
a86;1;54;37;47;1;1;7;1
