;2;2;2;2;2;2;2;2;2;2
;cost;cost;cost;cost;cost;gain;cost;cost;gain;gain
;g1;g2;g3;g4;g5;g6;g7;g8;g9;g10
a1;93.77;0.443;0.234;1898.10;3214.40;29.26;8.62E-05;1774.10;0.46;0.49
a2;96.43;0.456;0.239;2400.10;3998.30;24.98;9.90E-05;2272.80;0.70;0.585
a3;94.76;0.462;0.240;1919.00;3356.00;29.28;8.10E-05;1798.60;0.47;0.485
a4;106.29;0.513;0.254;2543.00;4388.00;24.98;9.68E-05;2412.00;0.74;0.575
a5;104.89;0.448;0.234;2237.70;3447.70;43.62;1.06E-04;2135.10;0.34;0.48
a6;98.94;0.457;0.237;2522.10;3875.10;39.66;1.08E-04;2419.10;0.49;0.525
a7;88.05;0.414;0.228;1846.10;2973.80;30.55;7.61E-05;1737.70;0.32;0.49
a8;83.10;0.425;0.232;2144.60;3416.20;40.05;7.80E-05;2035.60;0.48;0.55
a9;84.59;0.404;0.225;1798.30;2855.60;31.69;7.46E-05;1692.80;0.27;0.485
a10;79.65;0.414;0.229;2096.80;3298.00;35.35;7.65E-05;1990.60;0.42;0.555
a11;113.10;0.462;0.237;1925.90;3188.00;29.03;8.05E-05;1797.30;0.22;0.58
a12;111.52;0.478;0.242;2356.50;3864.90;21.17;9.30E-05;2226.70;0.32;0.635
a13;108.70;0.420;0.226;1803.70;2839.40;78.91;7.68E-05;1681.60;0.12;0.595
a14;106.89;0.435;0.231;2231.10;3508.50;21.00;8.92E-05;2108.00;0.21;0.66
a15;128.78;0.424;0.223;1939.70;2917.10;87.87;3.18E-02;1804.40;0.07;0.625
