;2;2;2;2;2;2;2;2;2;2;2
;cost;cost;cost;cost;cost;cost;cost;cost;cost;cost;cost
;ADP elements;ADP fossil;AP;EP;FAETP;GWP;HTP;MAETP;ODP;POCP;TETP
a1;2.02E-07;1.21E+01;3.96E-03;6.16E-04;3.49E-03;2.49E+00;6.79E-01;9.28E+01;1.81E-11;3.56E-04;4.87E-03
a2;2.67E-07;1.65E+01;5.67E-03;9.08E-04;4.86E-03;3.52E+00;9.83E-01;1.24E+02;2.62E-11;5.22E-04;6.91E-03
a3;1.88E-07;1.17E+01;3.99E-03;6.40E-04;3.42E-03;2.48E+00;6.93E-01;8.76E+01;1.85E-11;3.68E-04;4.87E-03
a4;2.64E-07;1.78E+01;5.68E-03;7.53E-04;6.34E-03;3.11E+00;7.81E-01;1.68E+02;1.80E-11;4.95E-04;7.09E-03
a5;3.40E-07;2.49E+01;8.31E-03;1.12E-03;9.17E-03;4.48E+00;1.16E+00;2.37E+02;2.14E-11;7.38E-04;1.03E-02
a6;3.78E-07;2.55E+01;8.23E-03;1.13E-03;9.03E-03;4.46E+00;1.14E+00;2.34E+02;3.14E-11;7.32E-04;1.02E-02
a7;1.44E-05;2.56E+01;9.98E-03;1.41E-03;8.77E-03;6.30E+00;1.89E+00;2.37E+02;2.34E-14;9.87E-04;1.29E-02
a8;1.37E-05;2.38E+01;9.43E-03;1.34E-03;8.22E-03;5.93E+00;1.79E+00;2.19E+02;2.10E-14;9.40E-04;1.22E-02
a9;1.40E-05;2.44E+01;9.64E-03;1.37E-03;8.41E-03;6.06E+00;1.83E+00;2.24E+02;2.15E-14;9.60E-04;1.25E-02
a10;1.88E-05;2.70E+01;6.84E-03;7.90E-04;7.42E-03;2.67E+00;2.25E-01;2.48E+02;3.92E-14;5.05E-04;5.13E-03
a11;3.59E-05;4.82E+01;1.24E-02;1.49E-03;1.30E-02;4.73E+00;4.02E-01;4.34E+02;6.90E-14;9.34E-04;8.99E-03
a12;2.62E-05;3.69E+01;9.45E-03;1.11E-03;1.01E-02;3.65E+00;3.11E-01;3.37E+02;5.29E-14;7.07E-04;7.01E-03
a13;2.43E-05;3.24E+01;8.13E-03;9.58E-04;8.55E-03;3.15E+00;2.57E-01;2.90E+02;4.76E-14;6.01E-04;5.88E-03
a14;4.47E-05;5.63E+01;1.43E-02;1.75E-03;1.47E-02;5.44E+00;4.47E-01;4.97E+02;8.18E-14;1.08E-03;1.01E-02
a15;3.13E-05;4.17E+01;1.06E-02;1.26E-03;1.11E-02;4.07E+00;3.39E-01;3.74E+02;6.04E-14;7.93E-04;7.67E-03
a16;3.21E-05;4.00E+01;9.59E-03;1.22E-03;7.89E-03;4.02E+00;2.00E-01;3.28E+02;7.31E-14;6.56E-04;4.54E-03
