;2;2;2;2;2;2;2;2;2;2;2;2
;cost;cost;gain;gain;gain;cost;gain;gain;gain;gain;cost;gain
;saidi;severe accident risks;control of corruption;political stability and absece of violence/terrorism;electricity mix diversity;electricity import dependence;equivalent availability factor;GDP per capita;insurance penetration;government effectiveness;average outage time;ease of doing business
Albania;21.4;7.03;38.46;58.10;0.00;1.02;39;4543;0.90;53.85;2.15;66.06
Algeria;5.9;0.14;28.85;11.90;0.04;0.84;85;4784;0.76;35.58;0.66;44.65
Angola;5.2;4.18;3.85;28.10;0.30;0.89;61;4153;0.80;15.38;2.26;36.89
Argentina;4.0;2.08;33.65;46.19;0.56;0.92;73;10501;2.66;50.00;0.27;57.39
Armenia;4.4;2.03;35.10;37.14;0.48;0.74;74;3795;0.60;48.56;0.88;69.91
Australia;1.3;0.09;94.23;75.71;0.50;0.94;78;50108;2.16;92.31;1.63;79.99
Austria;0.8;0.02;90.87;90.48;0.55;1.10;50;47648;3.18;90.38;1.00;78.13
Azerbaijan;1.0;0.63;16.83;21.90;0.23;0.88;82;6117;0.70;44.71;0.59;66.04
Bahrain;1.4;0.12;61.06;12.38;0.00;0.98;85;22304;1.95;73.08;1.40;66.38
Bangladesh;6.8;0.33;22.12;10.00;0.26;0.89;84;973;0.18;24.04;1.71;40.67
Belarus;0.3;0.15;46.63;51.90;0.06;0.99;85;6174;0.90;37.98;3.00;71.58
Belgium;0.6;0.03;91.83;64.76;0.69;1.16;78;45326;2.65;88.94;1.20;71.62
Benin;6.8;1.19;33.17;45.24;0.11;1.16;82;805;0.90;29.81;1.71;45.66
Bolivia;8.1;2.13;26.92;36.67;0.36;0.90;72;2391;1.20;28.85;0.68;48.57
Bosnia and Herzegovina;3.6;2.87;43.27;31.90;0.30;0.77;69;4803;1.70;32.69;3.60;62.96
Botswana;6.8;0.59;77.40;87.62;0.07;1.16;85;7088;0.90;71.15;1.71;64.02
Brazil;12.9;4.44;42.79;34.29;0.56;0.90;54;11212;1.80;48.08;2.22;57.27
Brunei Darussalam;1.8;0.12;69.23;93.81;0.03;0.94;85;32476;1.10;82.21;2.25;56.86
Bulgaria;6.9;0.07;49.52;46.67;0.59;0.71;77;7610;1.80;61.06;1.33;72.43
Cambodia;21.4;3.53;12.02;49.52;0.39;1.16;64;1021;0.30;25.00;1.40;52.34
Cameroon;21.4;5.45;12.98;15.24;0.32;0.87;51;1304;0.70;21.63;4.00;43.91
Canada;1.0;0.02;95.19;95.24;0.60;0.81;56;50108;3.89;94.71;0.71;80.34
Chile;4.0;0.06;87.50;60.00;0.66;0.95;67;14578;1.83;83.17;2.50;70.85
China;1.3;7.03;48.56;26.19;0.42;0.95;74;6498;1.63;68.27;3.25;63.43
Colombia;7.3;4.66;47.60;12.86;0.43;0.86;55;7448;1.86;52.40;0.97;69.22
Congo. Dem. Rep.;6.8;7.01;8.17;4.76;0.01;0.81;39;384;0.30;2.88;1.71;34.54
Congo. Rep.;6.8;3.80;10.58;26.67;0.30;0.64;61;3165;1.20;14.90;1.71;41.15
Costa Rica;0.0;5.26;75.96;67.62;0.36;0.88;44;9235;1.78;66.83;0.00;62.36
Cote d'Ivoire;21.4;1.23;41.35;20.00;0.30;0.70;78;1496;0.90;26.44;2.00;49.83
Croatia;5.8;0.04;63.94;65.24;0.54;1.16;53;13888;1.74;72.12;3.05;71.72
Cuba;6.8;0.81;60.10;66.19;0.26;0.85;85;6486;1.58;54.33;1.71;62.72
Cyprus;1.3;0.09;80.77;62.86;0.17;0.95;79;27518;2.44;81.25;4.00;66.82
Czech Republic;0.5;0.08;67.31;82.38;0.54;0.80;82;21237;1.94;80.77;1.67;75.51
Denmark;0.4;0.04;98.08;76.67;0.57;1.14;54;50108;2.69;97.60;0.80;83.91
Dominican Republic;21.4;1.07;21.15;54.76;0.54;0.89;80;6552;1.07;41.35;3.39;59.87
Ecuador;4.5;3.91;28.37;40.95;0.46;0.89;61;5368;1.90;38.94;0.83;57.39
Egypt;21.4;0.80;30.29;8.57;0.35;0.88;81;2707;0.36;22.12;4.00;56.06
