;2;2;2;2;2;2;2;2;2;2;2
;cost;cost;gain;cost;cost;cost;cost;cost;cost;gain;cost
;PENRT;PET;Rel. PERT;GWP;GWP-biogenic;AP;EP;ELD;Mass KG300;UMI;Energy
v01_sand-lime brick;3668616;4661286;21.3;1196;-3.46;2737;7557;5.34;3172;36.1;2517120
v01_brick;3508302;4512310;22.3;1117;-12.09;2831;7888;5.18;2861;35.6;2517120
v01_wood-massive;3393779;5383750;37.0;951;-12.67;3519;11381;4.71;2023;59.9;2539200
v01_wood-light;3227300;4823098;33.1;902;-13.91;3135;9185;5.01;1809;55.7;2550240
v02_sand-lime brick;4055226;5192657;21.9;1327;-3.70;2939;8243;5.90;3726;37.2;2791860
v02_brick;3889724;5038861;21.8;1245;-12.62;3036;8585;5.73;3404;36.9;2791860
v02_wood-massive;3786401;6043024;37.3;1065;-14.50;3829;12584;5.18;2458;58.9;2861350
v02_wood-light;3624505;5464479;33.7;1105;-16.36;3418;10239;5.48;2228;55.2;2828595
