;2;2;2;2;2;2;2
;cost;cost;cost;gain;gain;gain;cost
;total cost;EE;CO2;ecology;social;economic;disc hours
16-4;167201599;147778;19,607;3.37;4.09;3.95;228
16-2;168817133;154710;20,754;3.37;4.09;3.95;256
34-4;175335724;173720;20,903;3.44;4.12;3.97;226
4-4;151243075;177955;21,160;3.08;4.09;3.92;232
25-4;171392881;203819;22,425;3.41;4.18;4.11;226
13-4;155185918;147856;19,638;3.12;4.03;3.78;222
7-4;163258756;177877;21,129;3.33;4.15;4.09;319
6-4;154513799;161547;29,785;3.35;4.11;4.06;252
34-2;176951258;180652;22,050;3.44;4.12;3.97;246
4-2;152579810;186936;22,410;3.08;4.09;3.92;254
25-2;172729615;212800;23,675;3.41;4.18;4.11;247
22-4;159377200;203897;22,456;3.16;4.13;3.94;242
31-4;163320043;173798;20,934;3.19;4.07;3.79;240
13-2;156801453;154788;20,785;3.12;4.03;3.78;269
24-4;162647924;187489;31,081;3.42;4.15;4.08;222
6-2;155850534;170528;31,036;3.35;4.11;4.06;267
15-4;158456643;131448;28,264;3.39;4.05;3.92;319
1-4;156693802;185606;24,055;3.10;4.05;3.83;242
12-4;146440962;131526;28,295;3.14;3.99;3.75;243
31-2;164935578;180730;22,081;3.19;4.07;3.79;262
7-2;164595490;186858;22,379;3.33;4.15;4.09;360
24-2;163984659;196470;32,332;3.42;4.15;4.08;245
10-4;160636646;155507;22,534;3.14;3.99;3.69;249
30-4;154575087;157468;29,591;3.21;4.03;3.77;234
21-4;150632243;187567;31,112;3.17;4.09;3.91;238
33-4;166590768;157390;29,560;3.46;4.08;3.94;305
12-2;148056496;138457;29,442;3.14;3.99;3.75;270
19-4;164827927;211548;25,351;3.17;4.09;3.85;247
1-2;158030537;194587;25,305;3.10;4.05;3.83;272
10-2;162252180;162438;23,680;3.14;3.99;3.69;272
3-4;142498118;161625;29,816;3.10;4.05;3.89;323
15-2;160072177;138379;29,410;3.39;4.05;3.92;358
30-2;156190621;164399;30,738;3.21;4.03;3.77;261
17-4;143779375;244597;24,493;3.43;4.02;3.84;289
0-4;147948846;169275;32,711;3.12;4.01;3.80;253
9-4;151891689;139177;31,190;3.15;3.95;3.66;243
8-4;139836531;274696;26,014;3.39;4.08;3.98;292
19-2;166164662;220529;26,601;3.17;4.09;3.85;264
5-4;127820851;274774;26,045;3.14;4.02;3.80;226
33-2;168206302;164321;30,706;3.46;4.08;3.94;346
22-2;160713935;212878;23,706;3.16;4.13;3.94;350
18-4;156082971;195217;34,007;3.19;4.05;3.82;239
14-4;131763694;244675;24,524;3.18;3.96;3.66;247
27-4;160025814;165119;32,486;3.23;3.98;3.68;235
0-2;149285581;178257;33,962;3.12;4.01;3.80;267
28-4;168770771;181449;23,830;3.21;4.02;3.71;311
35-4;151913500;270539;25,789;3.50;4.05;3.86;284
32-4;139897819;270617;25,820;3.25;4.00;3.68;219
9-2;153507224;146108;32,337;3.15;3.95;3.66;273
14-2;133379229;251607;25,671;3.18;3.96;3.66;253
17-2;145394909;251529;25,639;3.43;4.02;3.84;325
26-4;147970656;300638;27,310;3.47;4.11;4.00;287
5-2;129157585;283755;27,296;3.14;4.02;3.80;254
3-2;143834853;170606;31,067;3.10;4.05;3.89;366
18-2;157419706;204199;35,258;3.19;4.05;3.82;263
27-2;161641349;172050;33,633;3.23;3.98;3.68;265
8-2;141173266;283677;27,265;3.39;4.08;3.98;329
32-2;141513354;277549;26,967;3.25;4.00;3.68;248
21-2;151968978;196548;32,363;3.17;4.09;3.91;354
2-4;133271578;282425;28,940;3.16;3.98;3.72;243
35-2;153529034;277471;26,935;3.50;4.05;3.86;317
23-2;137291710;309697;28,592;3.22;4.06;3.82;260
28-2;170386305;188380;24,976;3.21;4.02;3.71;353
26-2;149307391;309619;28,561;3.47;4.11;4.00;322
29-4;145348547;278268;28,715;3.27;3.95;3.59;243
23-4;135954976;300716;27,341;3.22;4.06;3.82;308
2-2;134608313;291406;30,191;3.16;3.98;3.72;268
20-2;142742438;317348;31,487;3.23;4.02;3.73;261
29-2;146964081;285199;29,862;3.27;3.95;3.59;268
11-4;137214422;252326;27,419;3.20;3.92;3.57;321
16-1;151656695;117367;14,717;3.37;4.09;3.95;613
16-3;172888313;124574;15,246;3.37;4.09;3.95;586
20-4;141405703;308367;30,236;3.23;4.02;3.73;312
34-1;159790820;143309;16,013;3.44;4.12;3.97;613
34-3;181022438;150516;16,542;3.44;4.12;3.97;588
25-1;157060893;164491;17,084;3.41;4.18;4.11;638
6-1;140639622;123073;23,991;3.35;4.11;4.06;635
13-1;139751758;117444;14,748;3.12;4.03;3.78;622
11-2;138829956;259257;28,566;3.20;3.92;3.57;361
13-3;161038748;124651;15,277;3.12;4.03;3.78;599
4-1;137021831;138626;15,819;3.08;4.09;3.92;648
25-3;178292511;171698;17,613;3.41;4.18;4.11;627
31-1;147885883;143386;16,044;3.19;4.07;3.79;614
4-3;158308821;145833;16,348;3.08;4.09;3.92;627
31-3;169172873;150593;16,573;3.19;4.07;3.79;584
6-3;159258136;125401;27,107;3.35;4.11;4.06;628
12-1;131464612;101969;22,951;3.14;3.99;3.75;620
7-1;148926768;138549;15,788;3.33;4.15;4.09;724
