;;;;;;;;
;g1;g2;g3;g4;g5;g6;g7;g8
a1;88;91,3;73,6;11;9,7;600,1;5,7;89,6
a2;91,6;92,9;71,5;10,5;10;576,9;6,8;87,6
a3;89,6;91,1;74,5;11,6;6,9;524,1;7;83,2
a4;92,3;92,6;79,2;13,9;6,2;424,2;6,4;78,7
a5;89,4;89,1;76,2;14,6;6,8;411,3;6,4;83,2
a6;89,5;90;71,7;14,7;5,5;527,5;7,1;83,4
a7;85,2;87,4;66,7;11,1;8,4;566,9;6,1;90,1
a8;89,4;89,8;72,1;13,4;7,7;421,4;4,5;83,2
a9;86,4;87,7;72,6;12,5;8,6;489,7;5,8;78,5
a10;90,2;90,2;74,2;15,5;6;481,1;5,9;84,9
a11;89,1;89,5;74,1;15,7;6;471,1;6,3;79,9
a12;80,3;81,2;67,2;11,6;7,9;540,7;5,5;79
a13;87,3;90,4;70;14;7,3;429;6,7;86,5
a14;81,8;85,2;63;10,2;8,3;506,2;6,6;82,3
a15;90,3;91,6;82,2;14,6;4,7;316,9;6,9;74,5
a16;90,8;91,8;75,5;13,5;5,7;436,5;6,7;78,3
a17;89,4;89,8;69,9;12;6,7;417;6,5;78
a18;88,2;88,9;76,6;16,6;7,8;374,4;5,6;78,5
a19;87;90,9;70,4;14,5;7,1;431;4,8;76,2
a20;86,4;87,7;67,9;15,3;7,6;375,9;5,3;83,7
a21;85,6;89,5;78,8;18,9;5,9;318;6,7;74,2
a22;83,8;86,5;61,2;12;9;487,4;6;78,4
a23;87,5;87,3;72,1;12,7;5,1;360,9;6;77,2
a24;92;91,8;70,1;13,2;3,9;422,7;6,7;71
a25;87,5;89;70,7;13,2;6,8;425;6;81,5
a26;89,3;91,6;67,3;14,5;6,4;478,4;5,1;78,5
a27;89,4;87,7;69,9;15,6;7,3;406,8;6,1;78,2
a28;90,2;91,7;72,5;12,6;5,6;412,2;5,8;79,7
a29;87,9;87;76,1;19;6,7;365;7,5;77,5
a30;88,8;89,5;67,1;11,1;6,9;410,6;6,1;68,6
a31;86,3;87,8;70,1;13,4;8;439,3;4,5;78,3
a32;88,6;88,6;70,6;14,7;8,1;371,7;6,3;70
a33;89,2;88,6;69,8;13,7;7,5;405,5;4,8;79,8
a34;93,4;90,1;77,9;13,2;4,6;351,8;3,9;76,5
a35;86,8;87,8;71,7;12,2;6,9;417,2;4,6;73,1
a36;84,8;86,6;65,1;13,5;5,8;442,8;6;76,8
a37;89;88,6;72,1;15,5;5,1;431,7;5,3;79
a38;84,6;88,4;63,7;13,8;5,7;479,1;6,2;79,5
a39;83,5;88;81,2;12,1;8,7;321,5;3,4;51,1
a40;91,5;90,7;74;14,7;4,9;325,9;6,1;81,9
a41;90,4;90,4;71,9;14,6;5,6;420,1;5,7;75,7
a42;80,3;87,8;63,7;11,7;5,9;463,6;6,2;84,3
a43;89;89,2;76,6;15,4;5,4;322,4;6,4;66,9
a44;90,2;89,7;75,9;18,4;3,8;391,7;4,9;83,5
a45;88;88,7;75;15,3;5,1;400,4;4,7;61,5
a46;82,9;89,6;68,6;13,8;4,4;358,6;7,2;56,2
a47;86,3;86,7;68;12,9;7,4;390;5;71,9
a48;86,2;88,8;77,2;14,8;6;305,3;5,4;60,2
a49;89,7;91,3;74,3;15,1;4,6;388,3;6,2;78,7
a50;87,6;87,6;75,4;17,1;3,9;363,9;6,2;66,3
a51;84,5;87,1;62;19,4;6,7;475,9;4,8;72,2
a52;85,3;83,1;73,5;16;5,3;321,4;6,6;75,1
a53;88,9;89;79,3;16,7;4,2;306,3;5,7;67,7
a54;76,7;80,4;74,2;17;9,9;323,1;5,7;58,5
a55;90,4;90,6;78,1;16,9;4,3;343,8;4;67,9
a56;83,9;86,2;72,2;15,7;4,1;339,5;4,3;70,3
a57;88,6;90,1;78,3;18,3;3,9;338;6,4;68,9
a58;86,4;88;68,6;14,9;3,8;376,9;6,2;73,3
a59;86,7;87,8;71,9;11,8;6,8;395,2;5,7;76,5
a60;84,2;85,6;75,9;15,6;3,5;347,9;5,1;62,8
a61;84;87;75,7;18,6;4,1;292,8;5,9;77,3
a62;87,6;88,2;77,2;16,5;3,6;299,9;6,2;64,5
a63;90,6;91,4;77,6;16,7;2,7;295,3;6,2;61,6
a64;86,3;89,7;78,8;14,8;4,1;327,9;5,4;64,1
a65;86,7;87,5;74,7;14;5,4;304,3;4;64,2
a66;89,1;90,5;81,7;18,5;5,1;321,7;5,3;54,9
a67;86;89,1;77,1;17,3;8,1;256,4;4,9;65
