;2;2;2;2;2;2
;gain;gain;gain;gain;gain;gain
;g1;g2;g3;g4;g5;g6
a1;94.3;81.4;78.5;85;16.4;87.8
a2;91;86.7;64.3;81.5;26;80.2
a3;94.7;83.4;64;87;18.5;86
a4;90.3;85.3;58.1;87;15.7;82.4
a5;89;93.3;53.9;85;12.6;81.9
a6;89.7;61.8;67.2;85;21.8;85.2
a7;82.6;71.6;63.3;85;10.8;88.7
a8;95.3;54.5;75.5;81.5;12.2;84.7
a9;88.3;61.2;54.9;85;15.3;77.8
a10;89;62;57.5;85;14.1;70.8
a11;83.3;48.7;58.7;83.5;12.4;73.4
a12;89.7;46.1;58.9;88.5;10;80.9
a13;88.3;31.2;61.2;74.5;3.9;70.1
a14;81;45.4;53.5;69.5;1.5;69.8
a15;73.3;37.3;61.2;71;4.1;69.7
a16;68.7;38.1;63.5;73;4.4;66.3
a17;87;19;56.8;71;1.6;72.4
a18;80.3;17;59.7;71;5.8;58.1
a19;75.3;27.2;54.7;67.5;4;58.1
a20;76.3;30;52.5;67.5;1.6;54.8
a21;74.6;22.1;54.3;70;1.3;59.5
a22;74;11.3;61;67.5;1.7;60.8
a23;71;23.5;56.2;65.5;1;55.3
a24;66.3;19.1;56.7;67.5;1.2;55.3
a25;67;12.1;48.2;56;0.6;52.1
a26;55.6;3.2;51.9;62;2.4;54.6
a27;61.3;6.8;47.4;56;1.1;49.3
a28;46.9;10.6;55.5;38.5;1.9;36.6
a29;40.2;4;49;46;1.4;31.4
a30;49.6;3.5;32.3;42;0.5;43.4
a31;40.9;3.3;21.4;38;0.4;43.6
